state,numcol,yieldpercol,totalprod,year,StateName,nAllNeonic
AL,14000,66,924000,1997,Alabama,6704.8
AL,15000,64,960000,1996,Alabama,371.6
AL,16000,58,928000,1995,Alabama,716.5
AL,11000,56,616000,2007,Alabama,15103.9
AL,11000,72,792000,2006,Alabama,10281.8
AL,12000,86,1032000,2002,Alabama,2019.2
AL,12000,87,1044000,2004,Alabama,7864.2
AL,13000,66,858000,2005,Alabama,7992.0
AL,13000,82,1066000,2003,Alabama,1260.0
AL,14000,73,1022000,2001,Alabama,1490.8
AL,16000,71,1136000,1998,Alabama,1836.3
AL,16000,78,1248000,2000,Alabama,1499.2
AL,17000,68,1156000,1999,Alabama,1251.2
AL,7000,47,329000,2015,Alabama,12077.1
AL,7000,52,364000,2013,Alabama,19479.3
AL,7000,53,371000,2014,Alabama,24911.1
AL,8000,54,432000,2012,Alabama,18049.5
AL,9000,50,450000,2011,Alabama,22484.0
AL,9000,50,450000,2009,Alabama,13155.3
AL,9000,54,486000,2010,Alabama,8329.3
AL,9000,66,594000,2008,Alabama,9109.4
AR,40000,84,3360000,1996,Arkansas,493.6
AR,50000,60,3000000,1995,Arkansas,11115.6
AR,50000,95,4750000,1997,Arkansas,2353.7
AR,21000,65,1365000,2014,Arkansas,56766.9
AR,22000,60,1320000,2013,Arkansas,58521.1
AR,22000,64,1408000,2011,Arkansas,57431.8
AR,24000,57,1368000,2009,Arkansas,35961.9
AR,24000,72,1728000,2015,Arkansas,12427.3
AR,25000,60,1500000,2010,Arkansas,34965.5
AR,25000,63,1575000,2012,Arkansas,51226.5
AR,28000,75,2100000,2008,Arkansas,37361.2
AR,28000,80,2240000,2007,Arkansas,31712.8
AR,32000,76,2432000,2006,Arkansas,33889.5
AR,36000,69,2484000,2005,Arkansas,17652.0
AR,40000,57,2280000,2004,Arkansas,25153.2
AR,40000,75,3.00E+06,2003,Arkansas,5567.4
AR,45000,88,3960000,2002,Arkansas,2876.6
AR,50000,98,4900000,2001,Arkansas,3569.7
AR,52000,89,4628000,1999,Arkansas,692.2
AR,52000,93,4836000,2000,Arkansas,925.2
AR,53000,65,3445000,1998,Arkansas,1262.3
AZ,32000,60,1920000,1996,Arizona,6156.9
AZ,42000,80,3360000,1997,Arizona,10204.2
AZ,47000,59,2773000,1994,Arizona,2653.2
AZ,52000,79,4108000,1995,Arizona,8260.6
AZ,20000,52,1040000,2009,Arizona,11348.1
AZ,22000,46,1012000,2012,Arizona,15238.3
AZ,23000,53,1219000,2011,Arizona,20910.2
AZ,24000,77,1848000,2010,Arizona,12535.0
AZ,25000,64,1600000,2008,Arizona,10524.4
AZ,26000,39,1014000,2014,Arizona,19649.3
AZ,26000,49,1274000,2015,Arizona,15136.5
AZ,29000,36,1044000,2013,Arizona,19569.3
AZ,30000,64,1920000,2007,Arizona,10070.2
AZ,30000,65,1950000,2006,Arizona,13724.3
AZ,32000,55,1760000,2004,Arizona,12874.7
AZ,35000,72,2520000,2003,Arizona,11062.1
AZ,36000,50,1800000,2005,Arizona,11284.3
AZ,38000,63,2394000,2002,Arizona,6939.2
AZ,40000,59,2360000,2000,Arizona,10467.4
AZ,43000,59,2537000,2001,Arizona,3732.7
AZ,52000,62,3224000,1999,Arizona,5171.6
AZ,55000,60,3300000,1998,Arizona,4814.2
CA,390000,70,27300000,1996,California,33002.7
CA,400000,60,24000000,1994,California,2348
CA,420000,75,31500000,1997,California,76719.6
CA,420000,93,39060000,1995,California,28576.6
CA,275000,30,8250000,2015,California,334951.8
CA,320000,39,12480000,2014,California,178152.7
CA,330000,33,10890000,2013,California,167111.2
CA,330000,35,11550000,2012,California,140689.4
CA,340000,40,13600000,2007,California,126006.2
CA,355000,33,11715000,2009,California,88386.0
